module_age_years,ambient_temp_c,module_temp_c,relative_humidity_pct,daily_temp_swing_c,irradiance_kwh_m2_day,soiling_index,annual_degradation_rate_pct,cumulative_degradation_pct,current_power_ratio,fault_flag
17.66,27.27,47.79,27.54,18.3,4.78,0.61,0.5528,10.138,0.8986,0
8.15,23.75,41.86,22.67,15.1,6.49,0.5,0.3997,1.961,0.9804,0
20.89,45.71,60.19,66.21,26.94,4.7,0.926,1.0094,25.634,0.7437,1
20.22,24.38,47.9,63.97,8.01,5.02,0.172,0.4991,9.743,0.9026,0
9.99,22.67,50.04,67.01,29.51,6.35,0.075,0.6007,4.536,0.9546,0
7.56,31.47,55.11,76.86,17.84,6.08,0.917,0.8125,6.092,0.9391,0
17.22,30.01,65.45,41.11,20.22,6.32,0.903,1.0455,17.686,0.8231,1
3.92,16.76,47.34,88.47,15.23,2.15,0.683,0.489,2.018,0.9798,0
5.4,36.98,57.14,73.66,6.33,7.11,0.246,0.7031,4.2,0.958,0
0.68,27.25,47.34,79.38,17.02,5.9,0.97,0.7734,0.919,0.9908,0
19.78,19.11,43.93,72.68,20.34,7.91,0.765,0.7147,15.117,0.8488,0
16.79,37.51,54.48,43.68,22.73,4.34,0.674,0.7556,12.44,0.8756,0
17.78,33.01,62.0,37.64,16.61,3.26,0.223,0.5298,11.479,0.8852,0
19.63,17.88,42.05,48.8,2.65,5.21,0.513,0.1253,3.446,0.9655,0
11.74,42.22,65.76,22.76,7.21,4.9,0.823,0.889,10.137,0.8986,0
14.43,33.27,59.39,51.1,32.36,5.92,0.86,1.1134,19.23,0.8077,1
3.93,27.92,60.26,18.45,10.35,6.38,0.561,0.5841,2.182,0.9782,0
3.31,40.72,63.75,15.32,27.99,5.1,0.523,1.2343,5.95,0.9405,1
16.88,29.27,50.6,89.52,11.46,4.94,0.698,0.6718,14.282,0.8572,0
12.04,27.78,58.83,70.15,16.72,5.77,0.528,0.8838,13.303,0.867,1
14.35,22.72,50.52,59.95,22.38,4.92,0.418,0.7089,12.021,0.8798,0
19.24,32.65,52.73,42.29,12.26,4.83,0.085,0.4095,9.014,0.9099,0
16.05,31.81,53.84,60.64,29.15,6.34,0.126,1.0839,18.141,0.8186,1
14.06,28.12,51.29,86.33,18.53,6.59,0.76,0.6598,9.562,0.9044,0
14.2,21.68,45.85,67.19,21.23,6.39,0.025,0.4096,2.939,0.9706,0
7.95,29.04,42.9,63.2,16.13,5.01,0.052,0.2312,3.299,0.967,0
1.26,27.44,40.19,51.82,22.61,2.85,0.905,0.6589,1.245,0.9876,0
11.2,17.33,34.01,42.66,29.05,5.04,0.704,0.6508,9.127,0.9087,0
5.76,16.23,32.44,70.88,17.08,4.37,0.004,0.1926,1.08,0.9892,0
10.51,32.52,50.66,93.48,30.11,5.06,0.312,0.8613,10.579,0.8942,1
21.41,7.18,32.99,48.98,13.72,4.46,0.763,0.4473,8.65,0.9135,0
6.23,29.64,50.63,46.38,23.35,5.18,0.418,0.6217,2.132,0.9787,0
1.93,24.18,47.35,49.25,21.42,4.06,0.469,0.649,0.0,1.0,0
7.39,38.47,53.12,49.04,10.52,3.79,0.459,0.4547,3.386,0.9661,0
7.69,24.05,43.28,94.25,19.5,6.54,0.202,0.6148,3.716,0.9628,0
16.72,33.28,58.8,71.54,18.05,4.13,0.721,0.8974,14.417,0.8558,1
14.15,24.82,50.39,43.73,12.03,5.2,0.103,0.2961,5.435,0.9457,0
19.71,28.91,46.56,44.72,20.51,6.25,0.507,0.4679,9.698,0.903,0
16.78,33.89,56.86,49.46,19.02,6.21,0.17,0.5054,7.025,0.9298,0
10.46,24.3,59.49,17.94,17.49,6.07,0.047,0.6633,11.563,0.8844,1
20.44,35.97,57.87,57.23,17.52,5.53,0.143,0.7497,16.516,0.8348,0
4.59,20.05,37.89,79.91,17.37,6.0,0.869,0.5849,1.012,0.9899,0
1.06,30.36,51.31,67.85,15.43,6.71,0.176,0.5994,0.0,1.0,0
2.71,35.38,57.93,30.87,18.98,5.67,0.278,0.6152,1.428,0.9857,0
18.2,33.28,54.37,73.24,13.49,3.18,0.138,0.7453,14.311,0.8569,0
11.82,43.33,65.14,72.56,36.6,4.62,0.736,1.7145,22.927,0.7707,1
4.45,21.89,35.23,36.0,8.13,5.97,0.445,0.3706,1.627,0.9837,0
12.78,16.97,33.19,64.83,13.91,4.51,0.944,0.5094,10.158,0.8984,0
4.23,20.05,41.15,63.88,14.46,6.98,0.664,0.3928,1.049,0.9895,0
17.56,33.28,54.29,82.18,32.28,5.13,0.531,1.1161,21.282,0.7872,1
11.43,31.98,50.59,25.89,8.76,5.29,0.657,0.4863,7.738,0.9226,0
9.84,28.82,49.76,30.59,20.98,6.44,0.04,0.3244,5.55,0.9445,0
7.89,19.02,41.38,53.88,19.74,5.0,0.951,0.3566,5.25,0.9475,0
15.94,34.13,61.47,18.53,20.34,5.39,0.956,0.7067,11.658,0.8834,0
9.36,18.2,39.61,48.25,26.65,6.19,0.276,0.4863,4.904,0.951,0
2.65,37.27,61.67,78.06,26.51,3.58,0.628,1.1417,0.0,1.0,0
3.39,50.0,68.75,26.9,14.84,4.89,0.202,0.8468,2.619,0.9738,0
24.07,30.93,56.36,51.8,19.36,6.11,0.547,0.7071,20.441,0.7956,1
22.76,32.66,56.92,94.18,4.95,5.27,0.771,0.8874,23.162,0.7684,1
17.64,24.06,51.25,55.47,18.69,6.81,0.94,0.7642,14.327,0.8567,0
7.01,13.52,39.8,54.87,12.44,3.47,0.339,0.4899,6.465,0.9353,0
24.24,23.18,48.71,59.7,16.7,3.34,0.694,0.5506,14.358,0.8564,0
19.58,19.26,40.67,29.88,6.2,6.05,0.716,0.2075,4.047,0.9595,0
18.06,16.42,39.89,26.77,20.83,6.15,0.221,0.4243,7.917,0.9208,0
11.51,41.78,70.16,69.19,6.12,4.99,0.629,1.3467,14.146,0.8585,1
7.17,30.18,48.27,46.66,19.04,5.64,0.655,0.4799,4.701,0.953,0
2.86,31.04,49.27,38.19,9.41,6.02,0.764,0.3268,1.465,0.9854,0
22.61,25.53,48.62,17.51,12.05,4.3,1.0,0.3795,11.057,0.8894,0
11.67,26.62,51.11,82.68,26.08,4.42,0.04,0.7251,8.285,0.9171,0
5.46,35.72,52.77,17.59,22.12,5.41,0.202,0.6179,3.428,0.9657,0
8.0,27.74,49.29,75.0,26.04,6.19,0.145,0.7439,2.632,0.9737,0
14.69,32.25,53.68,45.56,28.92,3.92,0.154,0.9179,14.842,0.8516,1
4.83,26.43,35.14,62.9,12.59,4.98,0.454,0.3522,1.989,0.9801,0
21.49,25.26,45.95,34.81,28.49,4.93,0.879,0.716,14.922,0.8508,0
19.08,16.74,37.8,27.43,7.74,5.66,0.449,0.1901,4.575,0.9542,0
18.13,12.18,33.22,57.67,23.22,5.19,0.668,0.3278,6.548,0.9345,0
11.09,25.91,56.4,70.65,14.55,4.6,0.376,0.6192,10.245,0.8976,0
15.87,28.45,43.16,30.64,11.49,6.57,0.32,0.2092,2.402,0.976,0
14.81,17.71,34.76,49.91,22.3,4.61,0.834,0.1605,3.67,0.9633,0
16.42,27.72,34.05,50.57,24.61,4.88,0.656,0.3491,4.814,0.9519,0
2.57,28.43,47.54,32.28,24.41,3.45,0.351,0.6777,0.866,0.9913,0
10.69,10.75,30.38,60.2,19.5,4.42,0.914,0.4339,5.536,0.9446,0
1.52,20.68,39.62,26.67,18.92,5.77,0.499,0.3165,0.152,0.9985,0
12.6,31.26,59.9,55.78,21.69,5.55,0.188,0.8463,11.232,0.8877,0
8.58,31.1,58.26,24.07,20.13,5.86,0.483,0.4654,4.854,0.9515,0
4.04,18.77,41.24,53.84,21.79,5.81,0.675,0.5114,1.345,0.9865,0
3.03,29.27,49.04,39.93,19.43,7.5,0.367,0.6268,3.419,0.9658,0
14.9,36.18,64.34,51.18,23.9,4.38,0.844,1.0801,16.34,0.8366,1
4.68,34.22,56.1,49.7,6.61,3.42,0.533,0.3278,1.491,0.9851,0
23.17,27.24,44.33,87.63,17.08,4.04,0.468,0.4763,13.157,0.8684,0
14.74,24.26,35.96,54.19,8.31,4.43,0.859,0.4325,7.489,0.9251,0
9.0,22.97,42.32,80.48,19.94,4.13,0.463,0.5245,6.118,0.9388,0
14.98,31.74,58.27,33.05,29.49,5.3,0.414,0.72,12.067,0.8793,0
1.06,29.56,65.22,43.17,14.68,6.58,0.104,1.1259,1.977,0.9802,0
23.98,33.04,55.4,21.01,18.89,6.89,0.362,0.4358,11.529,0.8847,0
12.32,29.05,46.46,48.66,23.3,5.75,0.397,0.493,4.865,0.9514,0
19.68,34.55,49.44,68.5,3.53,7.56,0.181,0.3025,4.772,0.9523,0
2.53,28.76,54.07,82.05,14.35,4.81,0.588,0.6036,0.0,1.0,0
12.42,34.28,45.69,60.27,20.55,3.4,0.144,0.3784,8.172,0.9183,0
12.52,34.97,60.27,66.21,2.0,6.36,0.224,0.7841,6.738,0.9326,0
23.48,21.56,48.47,29.18,11.16,3.18,0.561,0.4942,15.131,0.8487,0
14.51,13.53,38.15,17.98,25.71,4.37,0.269,0.3793,4.87,0.9513,0
12.1,40.35,61.03,78.34,25.02,5.77,0.64,1.03,14.962,0.8504,1
7.04,30.05,55.44,28.36,20.62,5.09,0.691,0.6944,1.482,0.9852,0
8.62,14.28,37.31,22.29,24.18,4.99,0.301,0.4518,3.822,0.9618,0
13.26,22.29,39.62,90.0,19.51,3.9,0.087,0.4586,9.104,0.909,0
11.25,34.17,67.28,92.08,21.89,5.19,0.489,1.618,19.865,0.8013,1
1.03,25.76,45.65,64.3,15.79,6.3,0.093,0.3792,0.0,1.0,0
20.74,23.9,50.56,45.29,18.81,5.22,0.515,0.5251,8.967,0.9103,0
22.46,39.21,46.7,81.66,13.57,4.29,0.726,0.5154,10.845,0.8915,0
3.94,19.62,49.28,31.38,26.84,3.83,0.62,0.7419,5.302,0.947,1
14.07,21.61,52.43,49.35,28.65,4.31,0.448,0.9859,13.988,0.8601,1
3.16,29.69,51.87,43.56,27.66,5.63,0.946,0.7968,2.463,0.9754,0
16.97,31.12,56.48,88.02,15.14,5.58,0.102,0.7941,14.871,0.8513,1
7.39,31.97,57.32,88.58,11.32,4.32,0.88,0.9285,4.957,0.9504,0
16.66,35.29,53.43,67.07,26.94,2.77,0.8,0.7593,14.219,0.8578,1
18.31,29.59,54.87,23.86,21.81,5.66,0.42,0.6929,13.043,0.8696,0
19.33,31.92,49.06,53.58,20.3,4.21,0.153,0.5168,11.617,0.8838,0
3.14,25.93,44.27,34.63,13.56,5.96,0.156,0.2447,0.0,1.0,0
22.94,28.5,57.26,85.79,20.98,4.37,0.922,1.0997,24.137,0.7586,1
6.14,28.86,56.71,26.07,10.4,4.11,0.234,0.4721,2.376,0.9762,0
1.42,29.72,47.48,19.34,22.44,5.37,0.874,0.4419,1.701,0.983,0
14.09,34.18,51.78,71.35,27.65,7.79,0.503,0.8714,13.621,0.8638,1
9.59,32.44,50.57,51.26,29.42,6.02,0.462,0.7723,7.828,0.9217,0
20.83,28.35,54.75,82.07,22.96,5.35,0.62,0.9844,23.275,0.7672,1
20.3,21.53,37.53,20.97,8.33,5.59,0.215,0.2781,6.546,0.9345,0
8.27,28.54,52.68,79.09,19.38,3.27,0.428,0.6716,5.941,0.9406,0
23.85,27.78,54.26,17.99,32.98,3.97,0.938,0.8657,21.45,0.7855,1
7.63,29.55,51.02,17.25,11.92,2.44,0.238,0.3361,4.4,0.956,0
13.12,45.65,73.71,51.91,17.59,7.1,0.922,1.6708,23.015,0.7699,1
6.77,23.81,43.98,32.7,27.89,6.88,0.994,0.7183,4.158,0.9584,0
23.43,31.38,52.1,62.5,22.32,5.63,0.052,0.629,13.837,0.8616,0
4.53,36.55,52.68,17.07,35.36,5.35,0.531,0.9002,6.016,0.9398,1
1.6,28.78,56.89,17.83,12.87,3.49,0.172,0.5827,0.0,1.0,0
11.16,46.7,64.1,73.17,11.07,4.96,0.622,0.9584,11.289,0.8871,1
24.81,24.98,49.07,31.81,26.57,7.17,0.99,0.9754,29.79,0.7021,1
22.35,30.59,52.16,67.51,9.63,5.34,0.897,0.6696,17.727,0.8227,0
18.84,21.61,37.29,74.99,16.62,4.58,0.925,0.3145,9.68,0.9032,0
22.32,25.19,43.53,19.75,17.54,3.27,0.213,0.323,7.761,0.9224,0
22.39,29.99,60.29,76.58,25.25,6.72,0.542,1.1769,29.562,0.7044,1
13.21,34.77,57.98,36.47,22.3,5.12,0.235,0.6475,9.22,0.9078,0
8.24,30.55,46.5,46.16,21.2,3.27,0.899,0.3632,3.889,0.9611,0
19.41,38.07,61.9,21.93,15.18,4.18,0.191,0.5553,15.265,0.8473,0
16.71,27.24,48.36,82.09,26.51,3.79,0.154,0.7542,13.049,0.8695,0
9.65,25.34,68.07,59.86,45.0,5.06,0.012,1.7029,16.849,0.8315,1
2.81,49.63,73.34,55.37,22.84,5.43,0.182,1.4277,2.58,0.9742,0
18.8,31.15,50.87,92.48,18.7,4.65,0.19,0.7549,16.749,0.8325,1
6.93,22.24,52.76,41.76,8.91,6.05,0.077,0.3638,1.818,0.9818,0
23.45,22.45,33.4,86.26,13.54,5.29,0.868,0.3203,10.756,0.8924,0
6.4,20.46,43.02,72.58,16.5,6.37,0.78,0.4399,0.29,0.9971,0
3.51,35.49,69.46,89.28,14.26,4.81,0.254,1.4015,5.895,0.941,1
20.86,25.08,46.39,87.62,17.89,8.0,0.783,0.7129,15.102,0.849,0
4.26,29.02,40.62,94.28,30.45,4.58,0.422,0.6694,4.156,0.9584,0
4.89,27.49,47.12,25.53,26.73,4.21,0.776,0.552,2.805,0.9719,0
15.18,33.85,64.58,78.68,16.89,4.07,0.323,1.1605,17.515,0.8249,1
21.93,21.23,45.48,79.36,9.54,4.97,0.565,0.4207,9.985,0.9002,0
5.31,19.4,36.36,66.55,27.36,3.31,0.382,0.4327,1.04,0.9896,0
8.1,29.79,47.68,37.31,17.66,5.52,0.188,0.1698,3.043,0.9696,0
19.55,32.81,51.45,92.21,5.91,3.1,0.586,0.6784,12.693,0.8731,0
24.31,30.66,54.83,31.35,22.99,5.38,0.751,0.6944,18.089,0.8191,0
12.77,21.52,51.55,54.97,25.18,3.71,0.753,0.642,9.356,0.9064,0
4.03,33.42,61.73,56.72,2.0,4.78,0.356,0.6063,5.196,0.948,0
0.84,22.05,46.79,27.95,12.23,5.86,0.519,0.3573,0.293,0.9971,0
6.13,23.83,37.84,72.8,17.23,7.73,0.764,0.5048,2.875,0.9713,0
3.73,20.45,34.48,22.11,23.14,4.01,0.054,0.3232,1.739,0.9826,0
17.1,38.41,63.61,70.45,14.39,5.03,0.072,1.1124,16.544,0.8346,1
3.48,33.07,46.99,82.89,12.18,4.4,0.376,0.5609,0.051,0.9995,0
12.91,32.84,53.49,42.95,23.09,4.24,0.223,0.5776,7.433,0.9257,0
17.51,37.98,61.8,71.75,14.72,4.41,0.375,0.9807,16.97,0.8303,1
14.74,50.0,65.17,27.54,21.79,6.11,0.094,0.9218,11.683,0.8832,0
5.39,14.33,30.18,82.68,10.22,4.66,0.592,0.2884,3.12,0.9688,0
20.2,22.09,43.53,91.16,8.53,7.67,0.672,0.6524,14.834,0.8517,0
18.03,23.07,48.09,27.22,23.29,5.66,0.792,0.4704,9.733,0.9027,0
18.61,21.19,49.56,70.35,19.77,4.09,0.651,0.6083,11.246,0.8875,0
3.71,19.38,45.02,55.47,24.46,4.8,0.396,0.6606,2.664,0.9734,0
3.53,25.6,48.04,57.52,14.27,4.32,0.935,0.5321,2.804,0.972,0
23.23,18.27,35.79,71.52,12.43,6.08,0.726,0.3122,8.346,0.9165,0
10.24,30.68,46.25,54.1,27.53,3.4,0.528,0.4307,5.558,0.9444,0
7.87,28.41,47.35,63.03,7.34,3.72,0.207,0.0857,0.0,1.0,0
12.47,31.85,56.31,33.47,26.76,4.55,0.649,1.011,13.335,0.8666,1
16.74,32.06,56.08,45.28,27.24,5.95,0.592,0.8545,17.097,0.829,1
23.91,32.82,42.22,84.22,24.02,6.56,0.683,0.5778,17.455,0.8255,0
7.52,25.01,42.3,23.79,13.19,6.72,0.781,0.3975,5.431,0.9457,0
23.16,44.97,74.2,62.81,12.28,5.78,0.915,1.5939,38.907,0.6109,1
1.11,29.88,52.35,29.74,16.53,5.11,0.949,0.5168,0.637,0.9936,0
14.1,13.1,26.6,82.72,8.93,6.07,0.63,0.1671,2.305,0.9769,0
16.03,19.98,56.12,61.32,11.27,3.94,0.966,0.5153,6.126,0.9387,0
3.09,14.08,35.9,47.24,22.51,3.17,0.911,0.2163,0.0,1.0,0
3.94,28.14,52.44,34.99,22.55,5.68,0.003,0.3457,1.174,0.9883,0
10.77,27.03,51.42,49.95,10.65,4.09,0.638,0.5706,6.414,0.9359,0
24.17,24.25,44.05,91.61,22.73,5.13,0.178,0.4886,15.775,0.8422,0
15.1,44.09,61.72,55.74,21.18,5.33,0.295,0.9366,17.084,0.8292,1
23.36,32.39,67.12,52.56,28.57,5.47,0.298,1.3848,32.762,0.6724,1
20.21,33.81,61.83,74.7,21.98,6.23,0.483,1.0682,24.162,0.7584,1
11.95,20.55,47.48,45.32,25.41,6.12,0.011,0.4841,5.528,0.9447,0
19.73,20.01,45.46,49.19,21.34,5.41,0.236,0.4579,11.339,0.8866,0
0.94,28.29,44.27,41.96,24.86,4.71,0.029,0.3996,1.713,0.9829,0
3.17,29.38,59.05,27.07,8.99,5.32,0.651,0.7356,4.448,0.9555,0
20.82,13.15,30.09,72.1,17.15,4.54,0.889,0.5812,12.575,0.8742,0
20.02,26.56,50.26,84.84,17.73,4.98,0.998,0.8932,20.767,0.7923,1
6.2,28.11,40.28,87.45,16.29,8.0,0.449,0.2416,0.0,1.0,0
13.5,26.28,36.03,85.46,21.11,5.4,0.26,0.3871,8.01,0.9199,0
15.35,21.49,45.4,51.14,22.44,5.7,0.853,0.5624,9.38,0.9062,0
21.76,23.68,40.83,37.73,20.75,4.42,0.113,0.3866,9.788,0.9021,0
15.28,26.59,36.65,66.03,16.76,6.32,0.974,0.2449,1.163,0.9884,0
10.61,28.73,53.97,91.38,12.85,6.04,0.715,0.614,6.31,0.9369,0
9.67,32.84,67.56,73.16,25.68,6.04,0.504,1.5887,17.972,0.8203,1
10.93,36.65,66.98,54.59,20.45,5.44,0.097,1.0234,10.945,0.8906,1
16.47,25.65,46.1,70.1,10.87,6.34,0.018,0.1964,5.298,0.947,0
21.75,24.35,46.4,76.8,16.64,6.6,0.545,0.4148,10.461,0.8954,0
11.62,31.5,58.83,88.54,5.8,5.51,0.414,0.9159,12.902,0.871,1
6.57,32.89,61.62,76.06,18.25,5.07,0.843,0.9597,6.826,0.9317,0
6.3,24.53,44.47,49.66,16.61,6.18,0.642,0.4538,1.511,0.9849,0
18.78,34.32,56.53,36.89,13.98,4.21,0.432,0.438,9.409,0.9059,0
20.51,35.84,59.64,54.99,29.09,4.41,0.226,0.7525,19.33,0.8067,1
3.08,38.33,63.66,41.25,9.91,5.14,0.48,0.9423,3.783,0.9622,0
2.13,42.23,63.43,90.42,22.94,3.28,0.163,1.3058,2.624,0.9738,0
15.06,21.07,42.35,55.64,33.31,6.11,0.667,0.7373,15.595,0.8441,1
4.08,28.11,58.39,52.76,25.54,4.14,0.606,0.8045,5.291,0.9471,0
20.7,28.09,57.35,42.86,17.78,4.68,0.81,0.8528,20.279,0.7972,1
8.1,27.22,52.08,66.15,10.06,4.97,0.45,0.5744,5.462,0.9454,0
4.02,22.81,55.12,56.6,8.47,5.24,0.279,0.6371,3.862,0.9614,0
23.06,16.12,35.8,25.32,15.12,4.82,0.836,0.2577,8.718,0.9128,0
4.56,28.74,60.48,84.54,13.19,5.13,0.691,1.0,1.067,0.9893,0
7.48,21.85,47.11,43.72,12.96,5.13,0.707,0.4538,4.294,0.9571,0
4.26,28.69,70.31,49.61,15.72,4.71,0.528,1.1897,4.909,0.9509,0
3.33,21.65,36.49,31.45,17.28,4.35,0.876,0.3477,0.401,0.996,0
1.02,19.2,37.07,59.27,21.4,6.39,0.228,0.3198,0.013,0.9999,0
1.86,29.87,54.39,71.16,9.34,2.89,0.402,0.6084,0.0,1.0,0
4.78,29.21,53.59,85.49,13.22,4.97,0.796,0.6045,0.033,0.9997,0
1.81,32.63,66.34,19.13,16.88,4.68,0.133,0.9384,3.779,0.9622,1
14.98,45.49,63.48,92.87,16.63,5.66,0.808,1.3497,21.746,0.7825,1
17.18,30.22,57.65,71.31,30.85,3.6,0.353,1.0037,14.205,0.8579,0
10.14,31.88,60.86,37.74,19.63,4.65,0.126,0.7655,7.222,0.9278,0
8.29,19.38,45.61,31.36,6.7,5.09,0.079,0.1936,3.353,0.9665,0
12.86,17.7,33.94,38.69,20.93,6.38,0.843,0.3457,4.579,0.9542,0
21.94,40.66,71.11,85.06,21.82,5.57,0.779,1.8887,44.887,0.5511,1
21.35,20.61,49.99,38.31,17.12,3.9,0.288,0.4837,13.4,0.866,0
1.57,19.65,45.25,52.03,9.51,4.66,0.116,0.2237,0.0,1.0,0
4.95,27.69,50.91,71.46,30.31,6.17,0.247,0.7607,3.656,0.9634,0
6.3,27.28,50.64,84.76,10.51,3.88,0.213,0.517,2.708,0.9729,0
6.61,20.78,42.31,67.69,22.63,5.11,0.733,0.4852,1.12,0.9888,0
14.5,25.56,51.4,75.25,19.4,5.19,0.216,0.7809,9.641,0.9036,0
10.7,37.84,60.02,28.87,22.21,4.78,0.216,0.7624,7.27,0.9273,0
1.71,21.55,38.46,85.19,29.95,8.0,0.032,0.6487,0.073,0.9993,0
9.65,16.85,32.56,37.06,21.93,4.75,0.597,0.2736,3.485,0.9652,0
13.33,35.54,53.03,25.27,14.09,5.69,0.689,0.5811,10.101,0.899,0
2.99,31.94,55.27,93.1,25.74,4.36,0.653,0.9783,3.831,0.9617,0
20.92,23.04,44.87,31.13,13.58,5.78,0.569,0.2828,8.452,0.9155,0
1.77,15.34,38.63,25.93,19.14,6.16,0.966,0.5124,0.494,0.9951,0
23.16,22.04,47.05,65.08,8.95,4.55,0.473,0.437,12.642,0.8736,0
2.93,27.56,45.8,40.51,10.77,5.14,0.86,0.1145,0.146,0.9985,0
21.17,37.33,68.12,25.67,18.36,4.22,0.646,1.0548,22.921,0.7708,1
22.62,19.71,40.1,63.09,20.58,3.94,0.084,0.3755,13.092,0.8691,0
24.5,27.32,46.72,75.72,6.08,6.34,0.81,0.449,8.825,0.9117,0
20.15,33.4,58.3,78.46,21.48,4.59,0.584,0.9549,17.371,0.8263,1
19.6,8.95,19.93,27.44,12.26,2.55,0.654,0.05,2.779,0.9722,0
16.24,36.27,53.53,59.55,26.96,7.14,0.18,0.4372,7.528,0.9247,0
19.59,18.54,46.43,80.09,15.54,4.32,0.437,0.3935,6.503,0.935,0
3.8,30.66,42.23,27.89,10.13,4.93,0.881,0.3636,0.0,1.0,0
13.63,29.97,58.68,31.61,18.53,7.0,0.215,0.2948,3.148,0.9685,0
13.1,36.68,67.74,15.19,11.59,5.04,0.0,0.7784,12.282,0.8772,1
21.51,32.41,52.19,56.97,26.88,5.02,0.258,0.4847,13.782,0.8622,0
11.84,8.98,32.73,30.57,18.0,3.85,0.488,0.2575,6.275,0.9373,0
9.93,21.72,50.44,72.94,16.94,3.4,0.821,0.8306,6.024,0.9398,0
16.17,29.11,48.3,91.98,22.14,5.02,0.643,0.7277,10.369,0.8963,0
7.03,26.44,53.65,31.7,10.97,5.6,0.919,0.5133,1.466,0.9853,0
3.92,31.82,49.79,66.93,8.98,5.54,0.456,0.5532,4.387,0.9561,0
12.21,34.31,53.45,31.95,20.86,4.67,0.391,0.5583,8.052,0.9195,0
10.71,32.87,50.07,16.44,10.3,5.22,0.231,0.3086,3.883,0.9612,0
6.2,26.29,50.34,75.68,10.3,3.18,0.218,0.5686,4.089,0.9591,0
9.5,13.23,42.18,49.72,23.86,5.71,0.736,0.5819,5.803,0.942,0
9.48,24.36,45.25,90.74,21.68,5.38,0.08,0.6162,4.355,0.9564,0
